Column Name,#,Demo Values,LLM Description,Informative Value,Data Type
Value in EUR (MV_MONVALUE_CONVERTED),9," '8080.0', '1026.098', '100'","The monetary value of the transaction or material converted into euros, which could be values like 100, 500, etc.",direct,"Amounts, Values & Units"
Plant (WERKS),8," 'RU04', 'P002', 'F055'","The factory or site where the operation takes place, typically indicated by a code like 'A001' or 'B123'.",indirect,UIDs
Material Group (MATKL),7," 'BS_MATGR', '05', 'NIKE'",This column stores the material group to which the specific material belongs.,indirect,Status & Indicators
Country/Reg. (LAND1),7," 'US','DE', 'CH'","Two-letter country code indicating the location related to the transaction or entity, such as 'US' or 'DE'.",direct,UIDs
Company Code (BUKRS),7," 'AG01', 'RU04', 'F001'","A unique identifier for a company within the corporate structure, such as 'ABCD' or '1234'.",indirect,UIDs
Material (MATNR),7," 'DH_TM_MAT2', 'BS_SPED_TEST_BLNK_SEG', 'SGA_KEYBOARD_K1X'","Identification number for a specific material or product, like '000000000001234567'.",indirect,UIDs
User group (CLASS),7," 'TESTER','TESTER','TESTER'","A group to which the user belongs, that could define roles like 'Administrator', 'Manager', etc.",indirect,UIDs
User Type (USTYP),7," 'S', 'A','A'","The category of the user, which might include types such as 'Employee', 'Vendor', or 'Customer'.",indirect,UIDs
Material Type (MTART),6,"'HALB', 'ROH', 'HALB'","The category defining the type of material, which could be codes representing 'Finished Products', 'Raw Materials', etc.",indirect,Status & Indicators
Location (LGORT),6," 'AFS','1.0', '171C'","The specific location within a plant, which might refer to warehouse number or storage area, denoted by codes like '0001' or 'A100'.",indirect,UIDs
Special Stock (SOBKZ),5," 'P', 'E','E'","Indicates the ownership status of the stock, with potential values like 'E' for consignment or 'Q' for project stock.",indirect,Status & Indicators
Profit Center (PRCTR),5," 'J001_P01', 'RUEC_01', 'SAP-DUMMY'","Represents the organizational unit within a company for which the profits are calculated, coded as 'PC123'.",indirect,UIDs
Created By (ERNAM),5," 'HABIBULLINA', 'CHEWEV', 'MRA'","Shows the user ID of the person who created the entry, like 'JDOE' for John Doe.",indirect,UIDs
Net Value (NETWR),4," '10890.0', '160.0', '850.88'","Represents the monetary value of transactions, in the local currency like '5000.00' for the net price.",direct,"Amounts, Values & Units"
Safety Stock (EISBE),4," '2.0','0.0', '25.0'",Indicates the minimum quantity of stock to be maintained for a material to prevent stockouts,direct,"Amounts, Values & Units"
Created On (ERDAT),4," '2022-05-13', '2022-07-12', '2021-03-19'","The date an entry is made in the system, typically in the format 'YYYY-MM-DD'.",direct,Dates & Timestamps
GR Proc. Time (WEBAZ),4," '10', '1','1'","Goods Receipt Processing Time in days, indicating the duration between ordering and receiving goods.",direct,Dates & Timestamps
Business Area (GSBER),4,"'F001', '1.0', '1'","A unique code that denotes the specific business area within an organization, such as sales, finance or logistics",indirect,Status & Indicators
Deliv. Compl. (ELIKZ),4,EMPTY,"Indicates whether delivery is completed, with a value like 'X' for complete.",indirect,Status & Indicators
Doc. Category (BSTYP),4," 'F','F', 'F'","Specifies the type of purchasing document (e.g., purchase order, contract)",indirect,Status & Indicators
Lot Sizing Procedure (DISLS),4," 'FX', 'EX','EX'","Defines how lot sizes are calculated, with values like 'HB' for reorder point planning.",indirect,Status & Indicators
MRP Type (DISMM),4," 'ND','ZD', 'F2'","Describes the material requirements planning (MRP) procedure that determines how a material is planned (e.g., re-order point planning, forecast-based planning)",indirect,Status & Indicators
Shipping Point (VSTEL),4," 'RU04', 'VS01', '3100'","The location from which goods are shipped, identified by a code such as '0001'.",indirect,UIDs
Batch (CHARG),4," 'C1','330817.0', '330855.0'","Represents the batch or lot number of a product which is used to track the product batch for quality, expiry and other purposes",indirect,UIDs
Supplier (LIFNR),4," 'URA_SELLER','URA_DPP', 'HIRA_REF01'","The code or name identifying the supplier of goods, for example, 'SUPP01'.",indirect,UIDs
Short Text (TXZ01),3,"'Test batch', 'RED', 'Medium'",Contains a brief description or name of the material or service being purchased.,direct,Ambiguous
Currency (WAERS),3," 'EUR', 'RUB', 'USD'","Represents the currency used in the financial transactions, like USD or EUR.",direct,"Amounts, Values & Units"
Order Unit (MEINS),3,"'BU', 'M', 'STD'","The unit of measure for the items ordered, like KG for kilograms, L for liters.",direct,"Amounts, Values & Units"
Document Date (BLDAT),3," '2022-05-20', '2022-07-15', '2017-03-23'",The date when the document (such as an invoice or purchase order) was posted in the system,direct,Dates & Timestamps
Planned Gds Mvmt (WADAT),3," '2021-04-06','2021-05-31', '2021-01-07'","The planned goods movement date, indicating when materials are expected to move in or out of stock",direct,Dates & Timestamps
Profit Center (KO_PRCTR),3," 'SAP-DUMMY', 'PC_01','PC00'",The organizational unit in controlling that reflects a management-oriented structure for profit analysis.,indirect,Status & Indicators
Acct Assgmt Cat (KNTTP),3," 'F', 'K', 'A'","Determines the type of account assignment like 'Cost Center', 'Sales Order', 'Project' which specifies the cost bearing object.",indirect,Status & Indicators
Bus.area:prtner (KO_GSBER),3,EMPTY,"The business area responsible for financial transactions, possibly indicating responsibility centers.",indirect,Status & Indicators
Division (SPART),3," 'S1','1', '60'",Represents a product or service division within a company.,indirect,Status & Indicators
Document Type (BSART),3," 'NBCR','NB', 'NB'","Indicates the type of purchasing document, e.g. 'NB' for standard purchase order.",indirect,Status & Indicators
Incoterms (INCO1),3," 'CFR','FOB', 'FH'","Refers to the terms of delivery and payment between trading partners as defined by Incoterms, which can influence cost distribution and transportation methods",indirect,Status & Indicators
Item Category (PSTYP),3,EMPTY,"Represents the type of item in a purchasing document, with values like 'Standard', 'Subcontracting', 'Consignment', 'Stock Transfer'.",indirect,Status & Indicators
Item Category (PSTYV),3," 'TAQ','ELN', 'TAC'","Defines the item category in purchasing documents, determines the process of a purchasing item, like standard (NORM) or subcontracting (SUBC).",indirect,Status & Indicators
Sales Org. (VKORG),3," 'AG01','1.0', 'SIT1'","Refers to the sales organization within a company, which is responsible for distributing goods and services",indirect,Status & Indicators
Item (EBELP),3,"'20', '10', '20'",A line item number in a purchasing document.,indirect,UIDs
Item (POSNR),3,"'20', '30', '18'","Represents the item number in a sales order or document, identifying specific items in a transaction",indirect,UIDs
Purchasing Doc. (EBELN),3,"'4500010268', '4503105957', '4500010355'",A unique number identifying a purchasing document such as a purchase order.,indirect,UIDs
Purchasing Org. (EKORG),3," 'AG01', 'E001','CM03'","Identifies the purchasing organization responsible for procurement activities, can contain organizational codes.",indirect,UIDs
Transaction Code (TCODE),3," 'ZFB01', '/VL01N', 'YVL01N'","Contains the code to access functions in SAP, such as 'ME21N' for creating purchase orders.",indirect,UIDs
Backlog purch. order (BL_PURCH_ORD),2," '39', '24', '15'","Indicates the backlog purchase orders, values could represent the number of orders pending beyond their expected delivery date.",direct,"Amounts, Values & Units"
Backlog purch. req. (BL_PURCH_REQ),2," '8', '28', '6'","The quantity of purchase requisitions that are backlogged,  this is typically a numerical value",direct,"Amounts, Values & Units"
