Sales Document (VBELN);Value in EUR (MV_MONVALUE_CONVERTED);Item (POSNR);Sales Doc. Type (AUART);Item Category (PSTYV);Relev.for Bill. (FKREL);Pur. Ord. Type (BSARK);Country/Reg. (LAND1);Company Code (BUKRS);Sales Area (SALES_AREA);Sales Org. (VKORG);Distr. Channel (VTWEG);Division (SPART);Plant (WERKS);Shipping Point (VSTEL);Location (LGORT);Profit Center (PRCTR);Sold-to Party (KUNNR);Delivery Prior. (LPRIO);AcctAssmtGrpMat (KTGRM);Material Group (MATKL);Material (MATNR);Order Quantity (KWMENG);Batch (CHARG);Procurement (BESKZ);MRP Type (DISMM);ABC Indicator (MAABC);Lot Sizing Procedure (DISLS);Safety Stock (EISBE);GR Proc. Time (WEBAZ);Net Value (NETWR);Doc. Currency (WAERK);Created on (H) (ERDAT_H);Created on (I) (ERDAT_I);Release date (CMFRE);RejectionReason (ABGRU);Delivery Date (EDATU);Mat.Avail.Date (MBDAT);Confirmed Qty (BMENG);Order Quantity (WMENG);Ovrl Deliv. Sts (LFGSA);Deliv. Conf.Sts (BESTA);OvrlDelivBlkSts (LSSTA);Delivery - Item (UVVLK);Delivery (VBELN_DEL);Delivery Item (POSNR_DEL);Delivery created on (ERDAT_DEL);Created By (ERNAM_DEL);User Type (USTYP);User group (CLASS);Transaction Code (TCODE_DEL);Automation (AUTOMATION);No. del. per SO it (NO_DEL);Year Cur.Period (LFGJA);Current Period (LFMON);Unrestricted (LABST);Quality Insp. (INSME);Trading Partner (VBUND);Order block (AUFSD);Account Group (KTOKD);Delivery block (LIFSD);Sales block (CASSD);Backlog purch. req. (BL_PURCH_REQ);Oldest PR rel.date (FRGDT_PURCH_REQ);Oldest purchase req. (BANFN_PURCH_REQ);Backlog purch. order (BL_PURCH_ORD);Oldest PO del.date (EINDT_BL_PURCH_ORD);Oldest purch. order (EBELN_BL_PURCH_ORD);Oldest PO category (BSTYP_BL_PURCH_ORD);Open purch. orders (OPEN_PURCH_ORD);Earliest PO del.date (EINDT_OPEN_PURCH_ORD);Earlistpurchorder (EBELN_OPEN_PURCH_ORD);Earliest PO category (BSTYP_OPEN_PURCH_ORD);BL plan. order 'LA' (BL_PLANNED_LA);Oldest 'LA' date (PEDTR_LA);Oldest planned order (PLNUM_LA);BL manuf. orders (BL_MANUF_ORDERS);Oldest manuf.date (DGLTS_BL_MANUF);Oldest manuf. order (AUFNR_BL_MANUF);Oldest order cat. (AUTYP_BL_MANUF);Open manuf. orders (OPEN_MANUF_ORDERS);Earliest manuf.date (DGLTS_OPEN_MANUF);Earlistmanuforder (AUFNR_OPEN_MANUF);Earlistordercat (AUTYP_OPEN_MANUF);Last insuff.stock (LAST_STOCK_ERROR_DATE)
0000043232;0;000010;TM42;TAN;A;null;DE;0001;null;TM42;01;01;TM42;TM42;;SAP-DUMMY;T42_BP_HAM;null;;01;T42_PROD-S01;90.000;;X;ND;;;0.000;0;0.00;EUR;2019-12-23;2019-12-23;null;;2020-01-14;2020-01-07;90.000;90.000;C;;;C;0080041664;000010;2019-12-23;EKSILMEZYI;A;TESTER;;A;1;0000;00;0.000;0.000;;;KUNA;;;0;null;null;1146;2019-09-23;null;null;4;2023-03-15;null;null;0;null;null;0;null;null;null;0;null;null;null;2019-09-23
0000043598;120;000010;TA;TAN;B;null;DE;R100;null;R100;R1;10;F051;VS01;;;PCS-V111;null;;NIKE_SHOE;NIKE_SHOE001;10.000;;X;ND;;;0.000;0;120.00;EUR;2018-03-09;2018-03-09;null;;2018-03-09;2018-03-09;0.000;10.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;1.000;;;KUNA;;;26;2018-02-27;null;42;2018-02-23;null;null;0;null;null;null;0;null;null;0;null;null;null;1;null;null;null;2019-09-23
0000043646;117.6;000010;TA;TAN;A;null;DE;F001;null;S001;S1;S1;P001;P001;;SAP_DUMMY;WDF28-1;null;;04;WDF28-1;10.000;;X;ND;;EX;0.000;1;117.60;EUR;2020-10-19;2020-10-19;null;;2020-10-19;2020-10-19;0.000;10.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;1.000;;;KUNA;;;138;2021-12-15;null;505;2021-07-02;null;null;16;2023-03-13;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000043647;0;000010;CNC;NCCU;A;null;DE;R100;null;R100;R1;10;SBV1;VS01;;SAP_DUMMY;0000012486;null;;CNC1;CNC_TUNA_FISH;1.500;;X;ND;;;0.000;0;0.00;EUR;2020-10-30;2020-10-30;null;02;2020-10-30;2020-10-30;0.000;1.500;C;;;C;0080046835;000010;2020-11-02;ASHMITA;A;TESTER;;A;1;0000;00;0.000;0.000;;;DEBI;;;0;null;null;1;2020-11-10;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000043647;0;000020;CNC;NCCU;A;null;DE;R100;null;R100;R1;10;SBV1;VS01;;SAP_DUMMY;0000012486;null;;CNC2;DAFOUR_JAM;1.000;;X;PD;;EX;0.000;0;0.00;EUR;2020-10-30;2020-10-30;null;;2020-10-30;2020-10-30;0.000;1.000;C;;;C;0080046835;000020;2020-11-02;ASHMITA;A;TESTER;;A;2;0000;00;0.000;0.000;;;DEBI;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000043648;0;000010;CNC;NCCU;A;null;DE;R100;null;R100;R1;10;ALE1;VS01;;SAP_DUMMY;0000012486;null;;CNC2;FRUITS_BERRIES_CNC_01;1.000;;X;ND;;;0.000;0;0.00;EUR;2020-11-02;2020-11-02;null;;2020-11-02;2020-11-02;0.000;1.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;DEBI;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000043648;0;000020;CNC;NCCU;A;null;DE;R100;null;R100;R1;10;ALE1;VS01;;SAP_DUMMY;0000012486;null;;CNC3;COOL_EGG_CNC_01;1.000;;X;ND;;;0.000;0;0.00;EUR;2020-11-02;2020-11-02;null;;2020-11-02;2020-11-02;0.000;1.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;DEBI;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000043648;0;000030;CNC;NCCU;A;null;DE;R100;null;R100;R1;10;ALE1;VS01;;SAP_DUMMY;0000012486;null;;CNC2;VEGETABLE_ONION_CNC_01;2.000;;X;ND;;;0.000;0;0.00;EUR;2020-11-02;2020-11-02;null;;2020-11-02;2020-11-02;0.000;2.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;DEBI;;;0;null;null;1;2022-09-06;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000043649;0;000010;CNC;NCCU;A;null;DE;R100;null;R100;R1;10;SBV1;VS01;;SAP_DUMMY;0000020270;null;;CNC2;DAFOUR_JAM;1.000;;X;PD;;EX;0.000;0;0.00;EUR;2020-11-06;2020-11-06;null;13;2020-11-06;2020-11-06;1.000;1.000;C;;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;CPD;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000043649;0;000020;CNC;NCCU;A;null;DE;R100;null;R100;R1;10;SBV1;VS01;;SAP_DUMMY;0000020270;null;;CNC4;DAIRY_MILK_CNC_01;1.000;;X;ND;;;0.000;0;0.00;EUR;2020-11-06;2020-11-06;null;13;2020-11-06;2020-11-06;1.000;1.000;C;;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;CPD;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
